Siruta,Judet,Localitate,PersonalMediu_privat,PersonalMediu_public
37672,BT,Hiliseu-Horia,4,1
37734,BT,Hlipiceni,3,0
37770,BT,Hudesti,6,3
37823,BT,Ibanesti,5,1
37850,BT,Leorda,4,11
37912,BT,Lunca,5,1
37958,BT,Manoleasa,2,0
38063,BT,Mihai Eminescu,8,0
38161,BT,Mihaileni,5,6
38241,BT,Mihalaseni,2,1
38321,BT,Mileanca,7,1
38376,BT,Mitoc,2,1
38456,BT,Nicseni,4,0
38492,BT,Paltinis,4,1
38544,BT,Pomarla,2,3
38580,BT,Prajeni,3,0
38633,BT,Radauti-Prut,2,1
38679,BT,Rauseni,2,0
38731,BT,Ripiceni,2,1
38811,BT,Roma,4,1
38848,BT,Romanesti,3,0
38893,BT,Santa Mare,4,1
38982,BT,Suharau,4,5
39051,BT,Sulita,5,14
39122,BT,Sendriceni,2,1
39168,BT,Oras Stefanesti,5,11
39220,BT,Stiubieni,2,0
39266,BT,Todireni,2,1
39328,BT,Trusesti,6,9
39391,BT,Tudora,4,2
39417,BT,Ungureni,5,1
39532,BT,Unteni,2,0
39612,BT,Vaculesti,2,1
39658,BT,Viisoara,2,0
39694,BT,Varfu Campului,4,12
39738,BT,Vladeni,3,0
39792,BT,Vlasinesti,2,2
39836,BT,Vorniceni,3,0
39872,BT,Vorona,7,3
39942,BT,Lozna,2,0
39959,BT,Dimacheni,0,1
39967,BT,Candesti,5,0
39975,BT,Cosula,3,2
39983,BT,Blandesti,0,0
40035,BT,Adaseni,0,4
40198,BV,Municipiul Brasov,674,1454
40214,BV,Oras Ghimbav,3,1
40241,BV,Municipiul Codlea,16,76
40278,BV,Municipiul Fagaras,24,210
40303,BV,Oras Predeal,4,34
40367,BV,Oras Rasnov,13,2
40394,BV,Oras Rupea,6,38
40438,BV,Municipiul Sacele,21,22
40465,BV,Oras Victoria,5,11
40492,BV,Oras Zarnesti,11,85
40526,BV,Apata,0,0
40544,BV,Beclean,0,0
40606,BV,Bod,3,0
40633,BV,Bran,5,0
40688,BV,Budila,2,0
40704,BV,Bunesti,1,0
40768,BV,Cata,1,0
40820,BV,Cincu,3,0
40857,BV,Comana,1,1
40900,BV,Cristian,4,5
40928,BV,Dumbravita,4,0
40955,BV,Feldioara,3,4
40991,BV,Fundata,2,0
41033,BV,Halchiu,4,0
41088,BV,Harman,3,1
41113,BV,Harseni,2,0
41177,BV,Hoghiz,3,1
41248,BV,Homorod,1,1
41284,BV,Jibert,1,2
41346,BV,Lisa,1,0
41382,BV,Maierus,1,0
41417,BV,Mandra,2,0
41471,BV,Moieciu,3,0
41541,BV,Ormenis,2,0
41578,BV,Parau,2,1
41621,BV,Poiana Marului,2,0
41667,BV,Prejmer,8,0
41701,BV,Racos,1,0
41738,BV,Recea,2,0
41818,BV,Sercaia,2,13
41854,BV,Sinca,3,0
41925,BV,Sanpetru,9,11
41943,BV,Soars,1,0
42003,BV,Tarlungeni,6,15
42058,BV,Teliu,2,0
42076,BV,Ticusu,0,1
42101,BV,Ucea,1,0
42156,BV,Ungra,1,0
42183,BV,Vama Buzaului,2,0
42236,BV,Vistea,2,0
42307,BV,Voila,1,0
42398,BV,Vulcan,2,18
42449,BV,Sinca Noua,0,0
42456,BV,Crizbav,0,0
42464,BV,Sambata De Sus,0,0
42472,BV,Holbav,0,0
42480,BV,Dragus,0,0
