Siruta,Localitate,ActivitateDominanta
116340,Craiesti,Alimentara
34422,Silivasu De Campie,Alimentara
108151,Giulesti,Alimentara
99968,Valea Seaca,Alimentara
99968,Valea Seaca,Alimentara
157317,Giulvaz,Alimentara
149138,Iacobeni,Lemnului
149138,Iacobeni,Lemnului
91795,Vata De Jos,Lemnului
124563,Tasca,Lemnului
132752,Colceag,Mobila
140958,Dobrin,Alimentara
9887,Bata,Textila
1696,Oras Cugir,Alimentara
59041,Poieni,Lemnului
100004,Victoria,Alimentara
100004,Victoria,Alimentara
116395,Cucerdea,Alimentara
34477,Sanmihaiu De Campie,Lemnului
108204,Ieud,Alimentara
157362,Jamu Mare,Alimentara
26289,Zemes,Alimentara
83632,Municipiul Toplita,Textila
173748,Stefanesti,Alimentara
67256,Darmanesti,Alimentara
67256,Darmanesti,Alimentara
67256,Darmanesti,Alimentara
42682,Municipiul Braila,ConstructiiMasini
149183,Izvoarele Sucevei,Lemnului
108222,Lapus,Textila
132805,Cornu,ConstructiiMasini
50889,Oras Anina,Lemnului
124616,Tazlau,Lemnului
9930,Beliu,Alimentara
26320,Sarata,Textila
75472,Oras Targu Bujor,Mobila
108240,Leordina,Lemnului
42708,Chiscani,Metalurgica
116439,Cuci,Alimentara
124634,Tamaseni,Alimentara
67292,Dobra,Alimentara
67292,Dobra,Alimentara
141027,Dragu,Alimentara
26338,Buciumi,Alimentara
26338,Buciumi,Alimentara
173793,Susani,Alimentara
149227,Oras Liteni,Lemnului
165611,Pungesti,Alimentara
26346,Gioseni,Alimentara
50923,Oras Baile Herculane,Lemnului
132841,Cosminele,Lemnului
108268,Miresu Mare,Lemnului
26353,Odobesti,Alimentara
26353,Odobesti,Alimentara
18162,Popesti,Alimentara
18162,Popesti,Alimentara
18162,Popesti,Alimentara
18162,Popesti,Alimentara
18162,Popesti,Alimentara
157424,Jebel,Textila
34547,Spermezeu,Alimentara
124661,Timisesti,Alimentara
100086,Vanatori,Alimentara
100086,Vanatori,Alimentara
100086,Vanatori,Alimentara
100086,Vanatori,Alimentara
100086,Vanatori,Alimentara
26361,Prajesti,Lemnului
59130,Recea-Cristur,Alimentara
75515,Barcea,CalculatoareElectronica
67327,Dragodana,Alimentara
42753,Oras Faurei,Alimentara
1794,Oras Ocna Mures,Alimentara
157451,Lenauheim,Lemnului
26379,Itesti,Mobila
116493,Danes,Alimentara
42771,Surdila-Greci,Alimentara
10006,Birchis,Lemnului
75542,Balabanesti,Alimentara
50969,Oras Bocsa,Alimentara
141081,Fildu De Jos,Lemnului
173855,Tetoiu,Alimentara
91937,Valisoara,Alimentara
132896,Drajna,Lemnului
83749,Oras Vlahita,Lemnului
149290,Marginea,Lemnului
50987,Ocna De Fier,Alimentara
124723,Trifesti,Alimentara
124723,Trifesti,Alimentara
100148,Vladeni,Alimentara
100148,Vladeni,Alimentara
100148,Vladeni,Alimentara
100148,Vladeni,Alimentara
34618,Sant,Lemnului
157497,Liebling,Alimentara
108348,Moisei,Lemnului
116545,Deda,Lemnului
18242,Priboieni,Lemnului
51010,Municipiul Caransebes,ConstructiiMasini
10051,Barsa,Alimentara
149316,Malini,Lemnului
42824,Baraganul,Alimentara
83785,Atid,Alimentara
141134,Galgau,Alimentara
67407,Dragomiresti,Lemnului
67407,Dragomiresti,Lemnului
67407,Dragomiresti,Lemnului
91982,Vetel,Mobila
108366,Oarta De Jos,Alimentara
124750,Tupilati,Alimentara
1874,Municipiul Sebes,Lemnului
34645,Sieu,Lemnului
34645,Sieu,Lemnului
165719,Rebricea,Alimentara
157530,Lovrin,Textila
42842,Bertestii De Jos,Alimentara
75613,Balasesti,Alimentara
59238,Risca,Lemnului
173935,Tomsani,Lemnului
173935,Tomsani,Lemnului
116590,Eremitu,Lemnului
51056,Oras Moldova Noua,ConstructiiMasini
108400,Ocna Sugatag,Alimentara
10104,Barzava,Alimentara
149370,Manastirea Humorului,Lemnului
100219,Voinesti,Lemnului
100219,Voinesti,Lemnului
100219,Voinesti,Lemnului
34690,Sieu-Magherus,Lemnului
124803,Tibucani,Lemnului
83847,Avramesti,Lemnului
67470,Finta,Alimentara
1936,Oras Zlatna,Metalurgica
59283,Sacuieu,Alimentara
157585,Margina,ChimicaFarmaceutica
75668,Baleni,Alimentara
75668,Baleni,Alimentara
133018,Draganesti,Alimentara
133018,Draganesti,Alimentara
