Siruta,Localitate,Judet,Numar absolventi,Populatie
109924,Oras Baia De Arama,MH,232,1218
110027,Obarsia-Closani,MH,13,84
110063,Municipiul Orsova,MH,372,1699
110116,Oras Strehaia,MH,290,1591
110232,Oras Vanju Mare,MH,148,735
110296,Bala,MH,30,232
110456,Balta,MH,10,70
110535,Balacita,MH,31,202
110571,Bacles,MH,11,151
110688,Balvanesti,MH,11,84
110740,Breznita-Motru,MH,14,91
110820,Breznita-Ocol,MH,13,180
110875,Brosteni,MH,14,163
110946,Burila Mare,MH,18,123
111006,Butoiesti,MH,21,181
111097,Cazanesti,MH,22,161
111220,Ciresu,MH,8,44
111275,Corcova,MH,52,507
111417,Corlatel,MH,21,184
111444,Cujmir,MH,131,772
111480,Devesel,MH,15,261
111550,Darvari,MH,24,209
111587,Dumbrava,MH,14,98
111685,Floresti,MH,21,152
111783,Garla Mare,MH,17,130
111818,Godeanu,MH,0,13
111863,Gogosu,MH,15,312
111916,Greci,MH,8,68
111989,Grozesti,MH,15,185
112030,Gruia,MH,18,280
112076,Hinova,MH,24,210
112129,Husnicioara,MH,11,70
112245,Eselnita,MH,11,189
112263,Ilovat,MH,10,70
112334,Ilovita,MH,11,105
112370,Isverna,MH,26,173
112469,Izvoru Barzii,MH,168,744
112548,Jiana,MH,34,422
112600,Livezile,MH,17,123
112664,Malovat,MH,20,153
112744,Obarsia De Camp,MH,12,96
112771,Oprisor,MH,14,120
112806,Padina,MH,0,42
112879,Patulele,MH,31,244
112904,Dubova,MH,2,31
112959,Podeni,MH,4,49
112995,Ponoarele,MH,23,199
113153,Poroina Mare,MH,0,31
113206,Pristol,MH,4,62
113233,Prunisor,MH,12,110
113395,Punghina,MH,11,220
113466,Rogova,MH,13,118
113493,Salcia,MH,14,150
113518,Stangaceaua,MH,18,95
113607,Svinita,MH,7,43
113625,Sisesti,MH,53,303
113698,Sovarna,MH,11,77
113732,Tamna,MH,24,245
113849,Vanatori,MH,14,123
113894,Vanjulet,MH,18,168
113929,Vladaia,MH,16,156
113974,Voloiac,MH,13,149
114060,Branistea,MH,14,113
114079,Vrata,MH,16,148
114319,Municipiul Targu Mures,MS,6611,33531
114355,Cristesti,MS,21,372
114382,Sancraiu De Mures,MS,41,478
114417,Sangeorgiu De Mures,MS,47,622
