Siruta,Pop_liceal,Pop_profess,Pop_primar_gimn,Pop_univ
38376,0.0,0.0,250.0,0.0
38456,0.0,0.0,239.0,0.0
38492,0.0,0.0,200.0,0.0
38544,88.0,0.0,269.0,0.0
38580,0.0,0.0,383.0,0.0
38633,0.0,0.0,336.0,0.0
38679,0.0,0.0,271.0,0.0
38731,0.0,0.0,161.0,0.0
38811,0.0,0.0,345.0,0.0
38848,0.0,0.0,233.0,0.0
38893,0.0,0.0,284.0,0.0
38982,0.0,167.0,416.0,0.0
39051,0.0,0.0,259.0,0.0
39122,376.0,400.0,270.0,0.0
39168,242.0,75.0,549.0,0.0
39220,0.0,0.0,270.0,0.0
39266,151.0,75.0,389.0,0.0
39328,504.0,88.0,536.0,0.0
39391,0.0,0.0,520.0,0.0
39417,153.0,0.0,661.0,0.0
39532,0.0,0.0,236.0,0.0
39612,0.0,0.0,152.0,0.0
39658,0.0,0.0,171.0,0.0
39694,0.0,0.0,306.0,0.0
39738,0.0,0.0,318.0,0.0
39792,0.0,49.0,234.0,0.0
39836,0.0,0.0,541.0,0.0
39872,323.0,212.0,743.0,0.0
39942,0.0,0.0,236.0,0.0
39959,0.0,0.0,156.0,0.0
39967,0.0,0.0,184.0,0.0
39975,0.0,0.0,324.0,0.0
39983,0.0,0.0,168.0,0.0
40035,0.0,0.0,122.0,0.0
40198,9513.0,1350.0,18899.0,21296.0
40214,0.0,0.0,345.0,0.0
40241,682.0,306.0,2112.0,0.0
40278,1730.0,440.0,3113.0,0.0
40303,75.0,13.0,268.0,0.0
40367,305.0,85.0,1517.0,0.0
40394,351.0,97.0,653.0,0.0
40438,364.0,409.0,3280.0,0.0
40465,351.0,93.0,583.0,0.0
40492,355.0,113.0,2087.0,0.0
40526,0.0,0.0,434.0,0.0
40544,0.0,0.0,43.0,0.0
40606,0.0,0.0,315.0,0.0
40633,108.0,35.0,313.0,0.0
40688,0.0,0.0,716.0,0.0
40704,0.0,0.0,307.0,0.0
40768,0.0,0.0,263.0,0.0
40820,0.0,0.0,177.0,0.0
40857,0.0,0.0,354.0,0.0
40900,0.0,0.0,282.0,0.0
40928,0.0,0.0,433.0,0.0
40955,109.0,36.0,570.0,0.0
40991,0.0,0.0,26.0,0.0
41033,0.0,0.0,379.0,0.0
41088,0.0,0.0,265.0,0.0
41113,0.0,0.0,146.0,0.0
41177,0.0,0.0,545.0,0.0
41248,0.0,0.0,193.0,0.0
41284,0.0,0.0,216.0,0.0
41346,0.0,0.0,162.0,0.0
41382,0.0,0.0,429.0,0.0
41417,0.0,0.0,111.0,0.0
41471,0.0,0.0,371.0,0.0
41541,0.0,0.0,249.0,0.0
41578,0.0,0.0,219.0,0.0
41621,0.0,0.0,294.0,0.0
41667,380.0,73.0,744.0,0.0
41701,0.0,0.0,367.0,0.0
41738,0.0,0.0,271.0,0.0
41818,0.0,0.0,202.0,0.0
41854,0.0,0.0,403.0,0.0
41925,0.0,0.0,203.0,0.0
41943,0.0,0.0,230.0,0.0
42003,12.0,0.0,1017.0,0.0
42058,0.0,0.0,631.0,0.0
42076,0.0,0.0,161.0,0.0
42101,0.0,0.0,205.0,0.0
42156,0.0,0.0,264.0,0.0
42183,0.0,0.0,293.0,0.0
42236,0.0,0.0,152.0,0.0
42307,0.0,0.0,149.0,0.0
42398,0.0,0.0,503.0,0.0
42449,0.0,0.0,142.0,0.0
42456,0.0,0.0,349.0,0.0
42464,0.0,0.0,86.0,0.0
42472,0.0,0.0,172.0,0.0
42480,0.0,0.0,137.0,0.0
42498,0.0,0.0,330.0,0.0
42682,8115.0,1235.0,13624.0,710.0
42708,0.0,0.0,311.0,0.0
42753,337.0,52.0,323.0,0.0
42771,0.0,0.0,92.0,0.0
42824,0.0,0.0,263.0,0.0
42842,0.0,0.0,295.0,0.0
42913,0.0,0.0,223.0,0.0
42968,0.0,0.0,264.0,0.0
43019,0.0,0.0,289.0,0.0
43073,0.0,0.0,356.0,0.0
43117,0.0,0.0,122.0,0.0
43180,0.0,0.0,284.0,0.0
43242,0.0,0.0,173.0,0.0
43279,0.0,63.0,187.0,0.0
43313,0.0,0.0,284.0,0.0
43331,456.0,92.0,833.0,0.0
43411,522.0,141.0,556.0,0.0
43466,0.0,0.0,286.0,0.0
43493,0.0,0.0,246.0,0.0
43563,97.0,0.0,338.0,0.0
43625,0.0,0.0,251.0,0.0
43652,0.0,0.0,380.0,0.0
43698,0.0,0.0,80.0,0.0
43732,0.0,0.0,182.0,0.0
43787,0.0,0.0,159.0,0.0
43812,0.0,0.0,252.0,0.0
43867,0.0,0.0,204.0,0.0
43929,0.0,0.0,109.0,0.0
43992,0.0,0.0,155.0,0.0
44060,0.0,0.0,268.0,0.0
44113,0.0,0.0,150.0,0.0
44140,0.0,0.0,444.0,0.0
44177,0.0,0.0,458.0,0.0
44202,0.0,0.0,270.0,0.0
44257,0.0,0.0,143.0,0.0
44300,0.0,0.0,382.0,0.0
44328,0.0,0.0,293.0,0.0
44355,0.0,0.0,265.0,0.0
44391,0.0,0.0,317.0,0.0
44435,0.0,0.0,341.0,0.0
44462,0.0,0.0,239.0,0.0
44505,0.0,0.0,622.0,0.0
44532,0.0,0.0,315.0,0.0
44560,0.0,0.0,157.0,0.0
44818,9651.0,764.0,10830.0,498.0
44845,2394.0,215.0,3536.0,0.0
44863,0.0,0.0,187.0,0.0
44934,0.0,0.0,142.0,0.0
44989,0.0,0.0,150.0,0.0
45003,128.0,21.0,373.0,0.0
45101,116.0,68.0,613.0,0.0
45245,0.0,0.0,277.0,0.0
45334,0.0,0.0,67.0,0.0
45361,0.0,0.0,203.0,0.0
45389,0.0,0.0,88.0,0.0
45496,0.0,0.0,203.0,0.0
45539,0.0,0.0,281.0,0.0
45619,0.0,0.0,214.0,0.0
45673,0.0,0.0,270.0,0.0
45753,0.0,0.0,479.0,0.0
45815,0.0,0.0,249.0,0.0
45888,0.0,0.0,44.0,0.0
45959,0.0,0.0,161.0,0.0
46019,0.0,0.0,224.0,0.0
46108,0.0,0.0,23.0,0.0
46180,0.0,0.0,301.0,0.0
46251,0.0,0.0,136.0,0.0
46313,0.0,0.0,400.0,0.0
46377,0.0,0.0,456.0,0.0
46439,0.0,0.0,56.0,0.0
46484,0.0,0.0,389.0,0.0
46554,0.0,0.0,112.0,0.0
46769,0.0,0.0,328.0,0.0
46803,0.0,0.0,248.0,0.0
46830,0.0,0.0,179.0,0.0
46867,0.0,0.0,403.0,0.0
46910,0.0,0.0,297.0,0.0
