Siruta,Localitate,NascutiVii_1000loc
63072,Topraisar,12.455516014234876
66401,Bilciuresti,12.452625879805089
103443,Gradistea,12.448132780082988
140823,Criseni,12.446773665247298
20055,Vulturesti,12.446657183499289
41177,Hoghiz,12.440191387559809
22665,Gaiceana,12.439530062197651
97919,Miroslava,12.429090445535088
18670,Schitu Golesti,12.413793103448276
94795,Vladeni,12.408088235294118
101458,Oras Budesti,12.406306539157406
86446,Cozmeni,12.389380530973451
30915,Oras Sacueni,12.37682301931415
139394,Viile Satu Mare,12.368421052631579
117550,Ibanesti,12.362957779332866
141312,Halmasd,12.360939431396787
54412,Turnu Ruieni,12.352772191898879
61210,Chirnogeni,12.342051131354687
100362,Ciohorani,12.339585389930898
95747,Aroneanu,12.329485834207764
157246,Giarmata,12.323456106341734
71518,Caraula,12.311358220810167
19249,Tigveni,12.303290414878397
141535,Horoatu Crasnei,12.302960399846214
160993,Nalbant,12.302284710017574
9832,Archis,12.297734627831716
103309,Gogosari,12.297372833985467
34173,Petru Rares,12.294009939837824
93539,Dragos Voda,12.286689419795222
33275,Galatii Bistritei,12.282091917591126
47578,Mihailesti,12.281530467642892
144152,Bazna,12.264150943396226
84754,Lunca De Sus,12.262773722627736
105829,Vasilati,12.26158038147139
53675,Racasdia,12.252591894439208
73996,Sadova,12.250973208152049
22166,Oras Darmanesti,12.248764972592543
98373,Oras Podu Iloaiei,12.233801540552786
67835,Ludesti,12.230634828188702
95088,Barnova,12.229987293519695
136964,Beltiug,12.209302325581396
143806,Oras Dumbraveni,12.204951065054692
140627,Crasna,12.198750371913121
6217,Pianu,12.184990307394074
131407,Oras Mizil,12.184772065955384
101840,Ciocanesti,12.181195279786829
10916,Graniceri,12.180746561886052
143646,Tarnava,12.180629827688652
21971,Corbasca,12.179831631739209
24766,Racaciuni,12.17329036877909
61620,Cumpana,12.166819044939869
30719,Remetea,12.156998957971519
165611,Pungesti,12.151748666271487
167231,Fruntiseni,12.143611404435058
83981,Ciucsangeorgiu,12.13206046141607
25362,Secuieni,12.131715771230503
10514,Covasint,12.127894156560089
77509,Varlezi,12.124151309408342
61005,Aliman,12.119113573407203
116126,Chiheru De Jos,12.11734693877551
177101,Paltin,12.106537530266344
120138,Vatava,12.090680100755668
32884,Cetate,12.089810017271157
62761,Poarta Alba,12.084592145015106
107083,Asuaju De Sus,12.084592145015106
37217,Durnesti,12.083847102342787
39975,Cosula,12.078830260648443
180028,Porumbesti,12.057272042200452
62057,Lipnita,12.055641421947449
133161,Filipestii De Padure,12.048192771084338
59283,Sacuieu,12.048192771084338
142952,Valcau De Jos,12.044471896232242
35090,Tiha Bargaului,12.040939193257074
44355,Unirea,12.033694344163658
72533,Giurgita,12.032085561497325
98113,Mogosesti,12.021036814425244
141232,Garbou,12.020342117429497
140244,Benesat,12.016021361815755
29662,Husasau De Tinca,12.012012012012011
133429,Gherghita,12.00600300150075
31011,Salard,12.00533570475767
61318,Cobadin,12.001263290872723
101742,Cernica,11.993422961601702
151022,Veresti,11.981690899299947
159491,Livezile,11.979463776383342
179285,Oras Chitila,11.975251147628235
27329,Balc,11.972463334331039
54109,Socol,11.970534069981584
41818,Sercaia,11.969904240766073
85467,Sacel,11.961722488038278
180037,Boghis,11.960478419136766
162327,Bacani,11.95862960568843
57644,Fizesu Gherlii,11.953679491968622
84923,Martinis,11.953551912568306
17049,Malureni,11.950490823730261
85127,Mugeni,11.944444444444445
159963,Casimcea,11.944260119442601
13999,Aninoasa,11.940298507462687
149049,Horodniceni,11.937059142702116
36907,Cristesti,11.924009700889249
64461,Lemnia,11.917098445595855
29467,Girisu De Cris,11.90784364483562
101902,Ciolpani,11.907085691977358
147884,Crucea,11.899095668729176
95872,Belcesti,11.898558276880319
21506,Blagesti,11.896979997385278
7044,Salistea,11.894647408666101
26653,Santandrei,11.875654907439749
146281,Ipotesti,11.875172604252969
8826,Vintu De Jos,11.872146118721462
101378,Bucsani,11.871893981225842
105142,Slobozia Moara,11.863568956994563
67648,Gura Sutii,11.862835959221501
31422,Soimi,11.862396204033216
29573,Holod,11.849080137199875
23127,Izvoru Berheciului,11.848341232227488
175439,Bordesti,11.844331641285956
10453,Conop,11.842105263157896
28246,Cefa,11.839323467230445
118799,Petelea,11.83821111476488
148694,Fratautii Vechi,11.837655016910936
111863,Gogosu,11.814744801512287
99539,Todiresti,11.811023622047244
115959,Ceuasu De Campie,11.809086435952107
149753,Paltinoasa,11.795979398571191
20670,Stefan Cel Mare,11.7937987445311
118094,Magherani,11.790714812085483
85341,Praid,11.786689665085525
151433,Comanesti,11.779554059739167
77402,Umbraresti,11.777595179402903
26699,Oras Alesd,11.777207119454529
