,u1,u2,u3,u4
187,-0.07928390828733961,-5.286983668262712e-05,-3.7553909570612884e-05,8.240086988117344e-08
188,-0.11551447206138028,-5.2851115586424464e-05,-3.7656619882455486e-05,8.278178480478365e-08
189,-0.096704791339417,-5.286083494505009e-05,-3.760329616978353e-05,8.258402668708003e-08
190,-0.11873063508637917,-5.284945372715508e-05,-3.7665737408457416e-05,8.281559836896122e-08
191,-0.11276124159301,-5.285253823865424e-05,-3.76488147276217e-05,8.275283834455566e-08
192,-0.1420478170176212,-5.283740524761214e-05,-3.773183947196375e-05,8.306074670918326e-08
193,-0.1134921877350552,-5.285216054336332e-05,-3.7650886892622365e-05,8.276052324550092e-08
194,-0.026728880674289402,-5.289699297353285e-05,-3.740492090709749e-05,8.184832550305336e-08
195,-0.07022017612597908,-5.287452010414147e-05,-3.7528214724610316e-05,8.230557710942268e-08
196,-0.04127470890098897,-5.2889476837377975e-05,-3.744615699060213e-05,8.200125503190567e-08
197,-0.1234574201382715,-5.284701129765229e-05,-3.767913740879182e-05,8.286529406175801e-08
198,-0.11877936482918221,-5.284942854748923e-05,-3.7665875552789476e-05,8.28161106956853e-08
